Country,Forested Area (%)
Afghanistan,2.1
Albania,28.1
Algeria,0.8
Andorra,34.0
Angola,46.3
Antigua and Barbuda,22.3
Argentina,9.8
Armenia,11.7
Australia,16.3
Austria,46.9
Azerbaijan,14.1
The Bahamas,51.4
Bahrain,0.8
Bangladesh,11.0
Barbados,14.7
Belarus,42.6
Belgium,22.6
Belize,59.7
Benin,37.8
Bhutan,72.5
Bolivia,50.3
Bosnia and Herzegovina,42.7
Botswana,18.9
Brazil,58.9
Brunei,72.1
Bulgaria,35.4
Burkina Faso,19.3
Burundi,10.9
Ivory Coast,32.7
Cape Verde,22.5
Cambodia,52.9
Cameroon,39.3
Canada,38.2
Central African Republic,35.6
Chad,3.8
Chile,24.3
China,22.4
Colombia,52.7
Comoros,19.7
Republic of the Congo,65.4
Costa Rica,54.6
Croatia,34.4
Cuba,31.3
Cyprus,18.7
Czech Republic,34.6
Democratic Republic of the Congo,67.2
Denmark,14.7
Djibouti,0.2
Dominica,57.4
Dominican Republic,41.7
Ecuador,50.2
Egypt,0.1
El Salvador,12.6
Equatorial Guinea,55.5
Eritrea,14.9
Estonia,51.3
Eswatini,29.14006014434643
Ethiopia,12.5
Fiji,55.9
Finland,73.1
France,31.2
Gabon,90.0
The Gambia,48.4
Georgia,40.6
Germany,32.7
Ghana,41.2
Greece,31.7
Grenada,50.0
Guatemala,32.7
Guinea,25.8
Guinea-Bissau,69.8
Guyana,83.9
Haiti,3.5
Honduras,40.0
Hungary,22.9
Iceland,0.5
India,23.8
Indonesia,49.9
Iran,6.6
Iraq,1.9
Republic of Ireland,11.0
Israel,7.7
Italy,31.8
Jamaica,30.9
Japan,68.5
Jordan,1.1
Kazakhstan,1.2
Kenya,7.8
Kiribati,15.0
Kuwait,0.4
Kyrgyzstan,3.3
Laos,82.1
Latvia,54.0
Lebanon,13.4
Lesotho,1.6
Liberia,43.1
Libya,0.1
Liechtenstein,43.1
Lithuania,34.8
Luxembourg,35.7
Madagascar,21.4
Malawi,33.2
Malaysia,67.6
Maldives,3.3
Mali,3.8
Malta,1.1
Marshall Islands,70.2
Mauritania,0.2
Mauritius,19.0
Mexico,33.9
Federated States of Micronesia,91.9
Moldova,12.6
Monaco,0.0
Mongolia,8.0
Montenegro,61.5
Morocco,12.6
Mozambique,48.0
Myanmar,43.6
Namibia,8.3
Nauru,0.0
Nepal,25.4
Netherlands,11.2
New Zealand,38.6
Nicaragua,25.9
Niger,0.9
Nigeria,7.2
North Korea,40.7
North Macedonia,39.94835607851716
Norway,33.2
Oman,0.0
Pakistan,1.9
Palau,87.6
Panama,61.9
Papua New Guinea,74.1
Paraguay,37.7
Peru,57.7
Philippines,27.8
Poland,30.9
Portugal,34.6
Qatar,0.0
Romania,30.1
Russia,49.8
Rwanda,19.7
Saint Kitts and Nevis,42.3
Saint Lucia,33.2
Saint Vincent and the Grenadines,69.2
Samoa,60.4
San Marino,0.0
Sao Tome and Principe,55.8
Saudi Arabia,0.5
Senegal,42.8
Serbia,31.1
Seychelles,88.4
Sierra Leone,43.1
Singapore,23.1
Slovakia,40.4
Slovenia,62.0
Solomon Islands,77.9
Somalia,10.0
South Africa,7.6
South Korea,63.4
South Sudan,11.329207097969068
Spain,36.9
Sri Lanka,32.9
Sudan,8.1
Suriname,98.3
Sweden,68.9
Switzerland,31.8
Syria,2.7
Tajikistan,3.0
Tanzania,51.6
Thailand,32.2
East Timor,45.4
Togo,3.1
Tonga,12.5
Trinidad and Tobago,46.0
Tunisia,6.8
Turkey,15.4
Turkmenistan,8.8
Tuvalu,33.3
Uganda,9.7
Ukraine,16.7
United Arab Emirates,4.6
United Kingdom,13.1
United States,33.9
Uruguay,10.7
Uzbekistan,7.5
Vanuatu,36.1
Venezuela,52.7
Vietnam,48.1
Yemen,1.0
Zambia,65.2
Zimbabwe,35.5
