Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,0,0,..,..,..,..
Albania,ALB,High-technology exports (current US$),TX.VAL.TECH.CD,10014580,10843586,1960836,16607486,10199913,1118611,591718,1753201,3810240,6384226,886411,..
Algeria,DZA,High-technology exports (current US$),TX.VAL.TECH.CD,2215525,3260377,4033112,2549728,4844795,9028313,..,..,..,..,..,..
American Samoa,ASM,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,High-technology exports (current US$),TX.VAL.TECH.CD,19714197,21595662,18015813,18000092,21707609,24238350,33883932,37391323,36290169,36063879,49533520,51383658
Angola,AGO,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,102003479,101168422,90114520,62390526,79264147,46120730,43596708,77204455,..
Antigua and Barbuda,ATG,High-technology exports (current US$),TX.VAL.TECH.CD,..,0,0,0,162,3183,11437,0,0,0,0,0
Argentina,ARG,High-technology exports (current US$),TX.VAL.TECH.CD,1654528881,1791037027,1509996216,1475181467,1333427025,1487363816,647172446,561915855,546445789,466425814,663679613,689722037
Armenia,ARM,High-technology exports (current US$),TX.VAL.TECH.CD,7581096,9332592,9307631,11860132,21845447,28282166,36529310,45573711,26514439,37562644,497178920,822532500
Aruba,ABW,High-technology exports (current US$),TX.VAL.TECH.CD,3656987,1702027,2236432,1265878,1255851,2004844,2562890,1655574,1788242,1171746,1735162,1665839
Australia,AUS,High-technology exports (current US$),TX.VAL.TECH.CD,5468098058,5342736393,5459155781,5091394845,5379738452,4902492267,5241784852,6336480016,5590752219,6310404299,7827261971,7767880136
Austria,AUT,High-technology exports (current US$),TX.VAL.TECH.CD,18475532604,20793050424,21648234621,18084614342,17333979956,17025647706,16680037036,15967500783,15995936181,17019360151,23542335794,27308757068
Azerbaijan,AZE,High-technology exports (current US$),TX.VAL.TECH.CD,45373920,73389339,33923114,13928754,11727294,14069403,21177987,27996627,33914977,22212874,49582911,56810637
"Bahamas, The",BHS,High-technology exports (current US$),TX.VAL.TECH.CD,0,0,0,0,5691434,23398744,6223847,4273785,5698918,354749,0,7099
Bahrain,BHR,High-technology exports (current US$),TX.VAL.TECH.CD,7237726,18922393,47086511,22835701,21521243,14797112,11790580,171040707,334578591,18783670,18993642,11523340
Bangladesh,BGD,High-technology exports (current US$),TX.VAL.TECH.CD,105405034,68647591,..,93607706,..,..,..,..,..,..,..,..
Barbados,BRB,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,29763464,25313814,19196509,18830529,16529186
Belarus,BLR,High-technology exports (current US$),TX.VAL.TECH.CD,636491396,796837310,694196900,578013704,626372393,721137103,757854091,800555399,857164498,922201805,..,..
Belgium,BEL,High-technology exports (current US$),TX.VAL.TECH.CD,18578043351,23020452724,26767838222,22552909326,27175805685,25235406983,28165595899,33085086466,34318944448,60841701079,68608511632,50647716012
Belize,BLZ,High-technology exports (current US$),TX.VAL.TECH.CD,0,0,0,0,0,10,6270,0,64217,14461,17,0
Benin,BEN,High-technology exports (current US$),TX.VAL.TECH.CD,..,569796,3987990,1171209,577999,3522293,1403781,700714,1410633,1211677,1478628,1700350
Bermuda,BMU,High-technology exports (current US$),TX.VAL.TECH.CD,830077,2667623,2564052,1028795,1280911,1136950,2939782,1569639,869524,1878816,1251163,..
Bhutan,BTN,High-technology exports (current US$),TX.VAL.TECH.CD,58575,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,High-technology exports (current US$),TX.VAL.TECH.CD,52913603,44104414,33146951,24935819,15511283,19397571,19560045,14175220,13485139,22371253,35257941,27251877
Bosnia and Herzegovina,BIH,High-technology exports (current US$),TX.VAL.TECH.CD,80755223,82099573,93751572,98638473,96206577,236663996,261343236,253429110,212050903,323354391,346093120,335043704
Botswana,BWA,High-technology exports (current US$),TX.VAL.TECH.CD,..,26827409,19204185,37935089,29033590,53818634,39468568,18663246,16838415,23428722,38953785,25600565
Brazil,BRA,High-technology exports (current US$),TX.VAL.TECH.CD,9470914631,9066336666,8794690902,9433128684,10375539028,10715201949,11063190965,9392109980,5944951723,6350128610,7707210423,8060841826
British Virgin Islands,VGB,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,High-technology exports (current US$),TX.VAL.TECH.CD,70721764,56850707,61147373,79880356,75587694,159194395,115050,47341781,15965130,30923034,28422821,25220521
Bulgaria,BGR,High-technology exports (current US$),TX.VAL.TECH.CD,1021476044,1175494257,1156706424,1188402574,1368015151,1682865600,2012291354,2099870351,2155498073,2629729427,2722362666,3178034114
Burkina Faso,BFA,High-technology exports (current US$),TX.VAL.TECH.CD,10978416,14208169,13835438,5765833,6875574,5350847,6498091,34843264,4097239,3595403,2782855,8323768
Burundi,BDI,High-technology exports (current US$),TX.VAL.TECH.CD,..,52352,392605,762345,600998,224837,1919722,44806,22492,52895,279944,..
Cabo Verde,CPV,High-technology exports (current US$),TX.VAL.TECH.CD,0,..,331,..,..,..,12,155282,62460,134350,155610,73876
Cambodia,KHM,High-technology exports (current US$),TX.VAL.TECH.CD,13857078,73018958,31192963,121425752,171116016,177205288,164816028,160372357,308424335,454908154,1225957686,..
Cameroon,CMR,High-technology exports (current US$),TX.VAL.TECH.CD,..,13496358,27500532,14038025,11759707,15101442,16426545,12928297,6620517,5718462,..,..
Canada,CAN,High-technology exports (current US$),TX.VAL.TECH.CD,33113402476,32182263706,28787810893,28242770992,26203266317,26938349605,30480481649,31537324909,25573870176,29240972618,31224620822,35226982857
Cayman Islands,CYM,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,10398277,7773206,..,..
Central African Republic,CAF,High-technology exports (current US$),TX.VAL.TECH.CD,134458,10012,..,4091308,6613251,35462286,8173212,88772322,106849,878109,16373796,221989
Chad,TCD,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,High-technology exports (current US$),TX.VAL.TECH.CD,578366368,696431125,731680359,580229395,720871030,634869020,667789266,672148298,1368060499,1264185464,1400540500,1841775193
China,CHN,High-technology exports (current US$),TX.VAL.TECH.CD,594110243099,656130321776,654030643704,652412308349,594754428555,654254700212,731389331452,715336038300,757483821706,936394581135,924393316669,825045389470
Colombia,COL,High-technology exports (current US$),TX.VAL.TECH.CD,565873207,773381766,762816334,823794429,766933461,692527611,603548552,753154204,689647169,735066988,885893553,873209016
Comoros,COM,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,194928,135535,19666,2087641,28546,831114,38577,28418,..,..
"Congo, Dem. Rep.",COD,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,63192320,5559878,9340030,26163468,32092118,17461774,4658514,17597529,..
"Congo, Rep.",COG,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,49507331,53856827,71754303,82791344,40604431,29719757,37906534,38829158,27110079,..
Costa Rica,CRI,High-technology exports (current US$),TX.VAL.TECH.CD,2732053792,3074134472,2418534772,869824563,951904772,1106655213,1148832582,1154574074,1038666681,1457228331,2066890450,2809087758
Cote d'Ivoire,CIV,High-technology exports (current US$),TX.VAL.TECH.CD,96850645,165475569,241143808,187852042,126579773,137431681,78786305,141805000,56250897,56851004,58387740,110019023
Croatia,HRV,High-technology exports (current US$),TX.VAL.TECH.CD,913351645,999788815,915598803,915727467,1336109796,926522170,1011950033,952468476,1084083418,1330725251,1736046687,1738860511
Cuba,CUB,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,257965573,38992284,15927235,..,..,..,..,..
Curacao,CUW,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,High-technology exports (current US$),TX.VAL.TECH.CD,55513249,56419712,68206259,55429941,56148834,54653535,95281472,92911879,62939856,88015705,93960972,107331661
Czechia,CZE,High-technology exports (current US$),TX.VAL.TECH.CD,25452863333,24683560894,26896989563,24765844904,24696483302,29455304775,36029727754,37662935376,39608918726,41423396626,46554526977,46329135586
Denmark,DNK,High-technology exports (current US$),TX.VAL.TECH.CD,9742007079,10196237936,10640792837,10082748969,10051342801,8888105150,9553980118,9580042594,10456156892,12558476118,14666763778,16067378321
Djibouti,DJI,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,52191021,75036421,88653670
Dominica,DMA,High-technology exports (current US$),TX.VAL.TECH.CD,1949279,2279542,..,..,419801,318695,301159,1201516,145604,291177,3200283,367176
Dominican Republic,DOM,High-technology exports (current US$),TX.VAL.TECH.CD,145436379,197793260,223058546,207375708,228458931,479793890,388076815,399435146,487003237,565390971,406158882,454061980
Ecuador,ECU,High-technology exports (current US$),TX.VAL.TECH.CD,55266062,78368915,81594902,103054631,111067371,93241535,68768816,67994135,52973250,77485367,124665033,106992254
"Egypt, Arab Rep.",EGY,High-technology exports (current US$),TX.VAL.TECH.CD,78780667,72676207,168393198,89778932,56095790,73845752,124115195,323587661,347931933,645859214,766542713,697613295
El Salvador,SLV,High-technology exports (current US$),TX.VAL.TECH.CD,225446747,227691500,226164854,208807068,223937538,251239528,277843373,230311118,228122461,348626313,414452908,296585304
Equatorial Guinea,GNQ,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,High-technology exports (current US$),TX.VAL.TECH.CD,2356406386,2546333378,2709032485,2053390810,2107825808,1846642347,1911072435,1737778171,2169488523,2681060611,2331439433,2085454295
Eswatini,SWZ,High-technology exports (current US$),TX.VAL.TECH.CD,698635,1162950,1063575,2771688,2250765,3620940,11447254,3567569,3747606,4198951,3985543,3576837
Ethiopia,ETH,High-technology exports (current US$),TX.VAL.TECH.CD,8250875,5597838,24230914,15626489,10506299,7937400,9903649,44073888,43204864,24782074,9017811,9855262
Faroe Islands,FRO,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,High-technology exports (current US$),TX.VAL.TECH.CD,2770711,2718566,3433096,2717010,3397551,4217989,4667872,6263592,11123736,1950223,2268902,1594712
Finland,FIN,High-technology exports (current US$),TX.VAL.TECH.CD,5472643075,4695482191,5102766370,4250905950,3966871438,4405324838,4515449913,4563293049,4419553378,5489726511,5314037683,5292503329
France,FRA,High-technology exports (current US$),TX.VAL.TECH.CD,114180529053,118820854036,120716756777,109712844802,108836528649,108867689621,117655413928,120602174129,87513986459,97729573744,106026835558,115256032667
French Polynesia,PYF,High-technology exports (current US$),TX.VAL.TECH.CD,2388577,8787972,20716843,11000066,36375902,15891381,12182965,30906026,5106597,23343057,9877273,1514715
Gabon,GAB,High-technology exports (current US$),TX.VAL.TECH.CD,129190911,38531502,89390082,61949326,94533513,51877570,98516906,64376117,59109890,40017534,78992997,40040970
"Gambia, The",GMB,High-technology exports (current US$),TX.VAL.TECH.CD,12713,24497,0,738,0,2090,6065,402,1274,20,24121,14930
Georgia,GEO,High-technology exports (current US$),TX.VAL.TECH.CD,20048799,21318338,26436679,34242243,16319719,21231758,23144128,15548971,13231875,16787165,39454213,31139119
Germany,DEU,High-technology exports (current US$),TX.VAL.TECH.CD,202541990943,209304933980,215660926664,199465124309,205114885619,195727088512,209762237943,208177443529,182393711293,211942359477,244202078745,255687490788
Ghana,GHA,High-technology exports (current US$),TX.VAL.TECH.CD,74464827,62205333,96040603,89431412,21058841,41175497,50025593,9976531,..,8559644,20927708,20813123
Gibraltar,GIB,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,High-technology exports (current US$),TX.VAL.TECH.CD,1138029201,951302817,1338279317,1330159357,1416985518,1384671573,1755535165,1779259833,2006739599,2250610346,2860598783,3023255566
Greenland,GRL,High-technology exports (current US$),TX.VAL.TECH.CD,3325948,919559,257025,12776481,2115984,1743349,487974,..,..,..,..,..
Grenada,GRD,High-technology exports (current US$),TX.VAL.TECH.CD,195833,195026,1221586,355897,2988674,331598,1278881,796930,112035,90309,110475,420417
Guam,GUM,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,High-technology exports (current US$),TX.VAL.TECH.CD,208074794,213666508,229707719,249132210,259701215,246967065,255865387,241814990,300037283,332469285,369983861,376979755
Guinea,GIN,High-technology exports (current US$),TX.VAL.TECH.CD,..,989751,3601290,2455734,799556,..,..,..,..,..,..,..
Guinea-Bissau,GNB,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,18,..,..,..,..,..,..,..,..
Guyana,GUY,High-technology exports (current US$),TX.VAL.TECH.CD,41530,119766,105393,90066,161359,254735,82753,95124,1438979,139915,111140,9073399
Haiti,HTI,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,High-technology exports (current US$),TX.VAL.TECH.CD,39629388,..,44612409,18698692,37759500,45740962,29002648,12597313,58998495,21992491,..,..
"Hong Kong SAR, China",HKG,High-technology exports (current US$),TX.VAL.TECH.CD,962304721,680834176,540927728,453118850,469857067,293611819492,330090997861,322040157458,340143502997,431668056504,404935377075,369163546379
Hungary,HUN,High-technology exports (current US$),TX.VAL.TECH.CD,17575545657,17134185796,15681730021,14668188045,15894221309,17001565128,18051188622,18443341363,18196444682,19838941890,22854435493,24367700793
Iceland,ISL,High-technology exports (current US$),TX.VAL.TECH.CD,111300713,94981022,119694464,111537786,136817642,167559775,143434873,305002018,144580750,239162849,322470151,453683000
India,IND,High-technology exports (current US$),TX.VAL.TECH.CD,13881886778,17945576995,18334404544,14588767825,14266747536,15104651310,20197216794,23471089532,21583797567,27447578528,35784973166,40942449667
