Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,34.65,27.31,35.01,21.19,59.55,72.4,90.34,139.36,145.71,177.39,169.19,..
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,150.63,148.81,154.14,159.48,165.44,133.42,170.56,203.1,167.16,241.09,238.59,..
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,2998.95,3397.03,3618.61,4070.79,4447.92,5141.7,5291.25,6230.58,5709.84,6839,7606.65,..
American Samoa,ASM,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.53,5.26,4.18,7.96,7.83,1.67,3.19,5.41,8.14,9.44,9.6,..
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.3,23.85,34.57,32.12,37.81,55.13,29.7,36.39,48.51,42.35,44.99,..
Antigua and Barbuda,ATG,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.08,2.72,1.7,3.3,4.34,5.45,4.64,6.32,6.56,7.43,7.02,..
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,7803.52,7945.07,8330.4,8393.72,8601.99,8793.98,9234.47,9223.65,9999.61,9980.73,9122.18,..
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,548.98,532.37,540.71,534.03,536.98,539.3,524.57,627.03,622.39,576.14,655.3,..
Aruba,ABW,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,46728.07,50921.2,52854.67,54235.21,55173.81,55219.84,56691.37,58770.26,58870.89,61975.95,62305.03,..
Austria,AUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,12181.72,12414.79,12632.76,13137.08,12976.33,13072.27,13121.29,13708.07,14005.41,14969.64,14537.08,..
Azerbaijan,AZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,679.97,476.47,391.27,449.94,592.94,732.12,810.68,924.14,1033.88,1014.28,1174.57,..
"Bahamas, The",BHS,Scientific and technical journal articles,IP.JRN.ARTC.SC,8.01,18.89,15.89,12.77,13.91,20.78,20.64,19,21.42,22.14,17.75,..
